player_name,position,year,school_transferred_from,school_transferred_to,transfer_rating_247,transfer_rating_on3,hs_rating_247,hs_stars_247,hs_rating_rivals,hs_stars_rivals,hs_graduation_year
Fabrizio Pinton,K,2022,Air Force,Illinois,,79.3,75.0,,,,2019.0
TeRah Edwards,DL,2022,Northwestern,Illinois,0.87,84.73,87.0,3-star,,3-star,2020.0
Tommy DeVito,QB,2022,Syracuse,Illinois,0.9,84.67,90.0,4-star,,4-star,2017.0
Connor Bazelak,QB,2022,Missouri,Indiana,0.9,89.06,86.0,3-star,,3-star,2019.0
Emery Simmons,WR,2022,North Carolina,Indiana,0.88,87.53,90.0,4-star,,4-star,2019.0
Jonathan Haynes,S,2022,Ole Miss,Indiana,0.81,90.28,,,,,2017.0
Josh Henderson,RB,2022,North Carolina,Indiana,0.85,,87.89,3-star,,3-star,2019.0
LeDarrius Cox,DL,2022,Ole Miss,Indiana,,87.73,,,,,2019.0
Shaun Shivers,RB,2022,Auburn,Indiana,0.9,,88.0,4-star,,4-star,2018.0
Steven Stilianos,TE,2022,Lafayette,Iowa,0.87,,,,,,2018.0
Billy Edwards Jr.,QB,2022,Wake Forest,Maryland,0.82,81.17,82.0,3,,3,2021.0
Chad Ryland,K,2022,Eastern Michigan,Maryland,,,,,,,
Chantz Harley,ATH,2022,Villanova,Maryland,,,,,,,
Henry Chibueze,DL,2022,Liberty,Maryland,0.8,80.0,80.0,3,,3,2018.0
Jacob Copeland,WR,2022,Florida,Maryland,0.9,94.86,95.0,4,6.0,4,2018.0
Quashon Fuller,EDGE,2022,Florida State,Maryland,0.92,91.85,92.0,4,5.8,4,2019.0
VanDarius Cowan,LB,2022,West Virginia,Maryland,0.95,94.67,95.0,4,6.0,4,2017.0
Cam Goode,DL,2022,UCF,Michigan,0.86,,86.0,3,,3,2018.0
Eyabi Okie-Anoma,EDGE,2022,UT Martin,Michigan,0.89,,,5,,5,2018.0
Olusegun 'Olu' Oluwatimi,IOL,2022,Virginia,Michigan,0.94,,,,,,
Aaron Brule,LB,2022,Mississippi State,Michigan State,0.89,88.07,87.0,3,,4,2018.0
Ameer Speed,CB,2022,Georgia,Michigan State,0.87,89.0,88.0,3,,3,2017.0
Brian Greene,IOL,2022,Washington State,Michigan State,,,,,,,2017.0
Daniel Barker,TE,2022,Illinois,Michigan State,,,,3,,3,2018.0
Jalen Berger,RB,2022,Wisconsin,Michigan State,0.85,,91.0,4,,4,2020.0
Jarek Broussard,RB,2022,Colorado,Michigan State,0.89,88.48,84.0,3,5.5,3,2018.0
Khris Bogle,EDGE,2022,Florida,Michigan State,0.9,,96.0,4,,4,2019.0
Beanie Bishop,CB,2022,Western Kentucky,Minnesota,0.88,,70.0,2-star,,,2018.0
Chuck Filiaga,IOL,2022,Michigan,Minnesota,0.88,,95.0,4-star,,4-star,2017.0
Darnell Jefferies,DL,2022,Clemson,Minnesota,0.88,,88.0,3-star,,3-star,2018.0
Jacob Lewis,K,2022,Ball State,Minnesota,,,,,,,2019.0
Kyler Baugh,DL,2022,Houston Christian,Minnesota,,,,,,,2019.0
Lorenza Surgers,DL,2022,Vanderbilt,Minnesota,0.81,,84.0,3-star,,,2018.0
Quinn Carroll,OT,2022,Notre Dame,Minnesota,0.88,,97.0,4-star,6.0,4-star,2019.0
Ryan Stapp,CB,2022,Abilene Christian,Minnesota,0.88,,76.0,3-star,,,2019.0
Brian Buschini,P,2022,Montana,Nebraska,,,,,,,
Casey Thompson,QB,2022,Texas,Nebraska,0.89,90.01,88.0,3-star,,,2018.0
Chubba Purdy,QB,2022,Florida State,Nebraska,0.91,91.53,91.0,4-star,,,2020.0
Devin Drew,DL,2022,Texas Tech,Nebraska,0.83,82.65,,,,,
Hunter Anthony,OT,2022,Oklahoma State,Nebraska,0.85,,,,,,
Isaiah Garcia-Castaneda,WR,2022,New Mexico State,Nebraska,0.87,,,,,,
Kaine Williams,S,2022,Alabama,Nebraska,0.89,,,,,,
Kevin Williams,IOL,2022,Northern Colorado,Nebraska,,,,,,,
Marcus Washington,WR,2022,Texas,Nebraska,0.9,92.6,90.0,4-star,,,2019.0
Ochaun Mathis,EDGE,2022,TCU,Nebraska,0.94,85.9,86.0,3-star,,,2018.0
Omar Brown,CB,2022,Northern Iowa,Nebraska,0.89,,84.0,,,,2019.0
Stephon Wynn,DL,2022,Alabama,Nebraska,0.95,94.46,95.0,4-star,,,2018.0
Timmy Bleekrode,K,2022,Furman,Nebraska,,,,,,,
Tommi Hill,CB,2022,Arizona State,Nebraska,0.9,,,,,,
Trey Palmer,WR,2022,LSU,Nebraska,0.89,94.46,,,6.1,4-star,2019.0
Donny Navarro,WR,2022,Illinois,Northwestern,,,,,,,
Jaylen Pate,EDGE,2022,Wyoming,Northwestern,0.8,,,,,,
Luke Akers,P,2022,UCLA,Northwestern,0.84,81.8,80.0,,,3-star,2020.0
Ryan Johnson,DL,2022,Stanford,Northwestern,0.82,,,,,,
Taishan Holmes,DL,2022,UMass,Northwestern,0.82,,,,,,
Wendell Davis,LB,2022,Pitt,Northwestern,0.8,,,,,,
Chip Trayanum,RB/LB,2022,Arizona State,Ohio State,0.88,90.21,90.0,4-star,,4-star,2020.0
Parker Lewis,K,2022,USC,Ohio State,,,82.0,3-star,,,2020.0
Tanner McCalister,S,2022,Oklahoma State,Ohio State,0.94,87.17,87.0,3-star,,3-star,2018.0
Bo Nix,QB,2022,Auburn,Oregon,0.93,96.61,96.0,4-star,6.1,5-star,2019.0
Bucky Irving,RB,2022,Minnesota,Oregon,0.9,92.6,,4-star,,4-star,2021.0
Chase Cota,WR,2022,UCLA,Oregon,0.89,90.12,94.0,4-star,5.9,4-star,2018.0
Christian Gonzalez,CB,2022,Colorado,Oregon,0.94,91.86,90.0,4-star,5.8,4-star,2020.0
Jordan Riley,DL,2022,Nebraska,Oregon,0.82,85.25,88.0,3-star,,,2017.0
Noah Whittington,RB,2022,Western Kentucky,Oregon,0.88,89.15,78.0,3-star,,,2020.0
Sam Taimani,DL,2022,Washington,Oregon,0.87,92.65,91.0,4-star,,4-star,2018.0
Chop Robinson,EDGE,2022,Maryland,Penn State,,91.93,98.0,5-star,5.8,4-star,2021.0
Hunter Nourzad,IOL,2022,Cornell,Penn State,0.89,89.0,,,,,2017.0
Mitchell Tinsley,WR,2022,Western Kentucky,Penn State,0.89,96.01,,,,,2018.0
Charlie Jones,WR,2022,Iowa,Purdue,0.77,76.32,77.0,2-star,,,2017.0
Cole Brevard,DL,2022,Penn State,Purdue,0.88,90.92,88.0,4-star,,,2020.0
Elijah Canion,WR,2022,Auburn,Purdue,0.87,88.03,87.0,3-star,,,2020.0
Kobe Lewis,RB,2022,Central Michigan,Purdue,0.78,76.82,80.0,3-star,,,2017.0
Reese Taylor,CB,2022,Indiana,Purdue,0.89,86.6,89.0,4-star,,,2018.0
Sione Finau,IOL,2022,FIU,Purdue,0.84,81.27,84.0,3-star,,,2019.0
Tee Denson,CB,2022,Kansas State,Purdue,0.87,85.75,87.0,3-star,,,2020.0
Tyrone Tracy Jr.,WR,2022,Iowa,Purdue,0.87,86.83,87.0,3-star,,,2018.0
Curtis Dunlap,IOL,2022,Minnesota,Rutgers,0.86,90.98,90.0,4-star,,,2018.0
J.D. DiRenzo,OT,2022,Sacred Heart,Rutgers,0.9,90.24,,,,,2017.0
Jahzion Harris,EDGE,2022,Texas A&M,Rutgers,0.87,91.62,89.0,4-star,,,2020.0
Mike Ciaffoni,IOL,2022,Colorado State,Rutgers,0.8,,80.0,3-star,,,2019.0
Sean Ryan,WR,2022,West Virginia,Rutgers,0.85,84.07,85.0,3-star,,,2018.0
Taj Harris,WR,2022,Syracuse,Rutgers,0.9,93.55,85.0,3-star,,,2018.0
Willie Tyler,OT,2022,ULM,Rutgers,0.87,84.1,84.0,3-star (JUCO),,,2019.0
Azizi Hearn,CB,2022,Wyoming,UCLA,,92.72,,,,,2017.0
Darius Muasau,LB,2022,Hawaii,UCLA,,89.0,80.0,3-star,,,2019.0
Gabriel Murphy,EDGE,2022,North Texas,UCLA,,91.9,,,,,2019.0
Grayson Murphy,EDGE,2022,North Texas,UCLA,,92.71,,,,,2019.0
Jake Bobo,WR,2022,Duke,UCLA,,88.4,86.0,3-star,,,2018.0
Laiatu Latu,EDGE,2022,Washington,UCLA,,93.63,95.0,4-star,,,2019.0
Austin Jones,RB,2022,Stanford,USC,,93.55,93.0,4-star,,4-star,2019.0
Bobby Haskins,OT,2022,Virginia,USC,,82.83,84.0,3-star,,3-star,2018.0
Brenden Rice,WR,2022,Colorado,USC,,88.82,89.0,4-star,5.8,4-star,2019.0
Bryson Shaw,S,2022,Ohio State,USC,0.89,87.47,,3-star,,3-star,2019.0
Caleb Williams,QB,2022,Oklahoma,USC,,98.76,99.0,5-star,6.1,5-star,2021.0
Eric Gentry,LB,2022,Arizona State,USC,0.93,87.22,89.0,3-star,,3-star,2021.0
Jordan Addison,WR,2022,Pittsburgh,USC,,91.15,94.0,4-star,,4-star,2019.0
Latrell McCutchin,DB,2022,Oklahoma,USC,0.9,88.09,,4-star,,4-star,2021.0
Mario Williams,WR,2022,Oklahoma,USC,,96.7,94.0,5-star,,5-star,2021.0
Mekhi Blackmon,CB,2022,Colorado,USC,,,81.0,3-star,,3-star,2018.0
Romello Height,EDGE,2022,Auburn,USC,0.89,89.67,,4-star,,4-star,2019.0
Shane Lee,LB,2022,Alabama,USC,0.88,94.87,93.0,4-star,,4-star,2019.0
Terrell Bynum,WR,2022,Washington,USC,,85.9,87.0,4-star,,4-star,2018.0
Travis Dye,RB,2022,Oregon,USC,,83.83,,3-star,,3-star,2018.0
Aaron Dumas,RB,2022,New Mexico,Washington,0.9,81.99,,3-star,,3-star,2021.0
Cam Bright,LB,2022,Pittsburgh,Washington,,,,3-star,,3-star,2017.0
Jordan Perryman,CB,2022,UC Davis,Washington,0.87,,,2-star,,2-star,2018.0
Kevin Ryan,K,2022,Idaho State,Washington,0.83,,,2-star,,2-star,
Kristopher Moll,LB,2022,UAB,Washington,,,,3-star,,3-star,
Michael Penix Jr.,QB,2022,Indiana,Washington,0.87,87.4,85.0,3-star,,3-star,2018.0
Wayne Taulapapa,RB,2022,Virginia,Washington,0.85,79.48,,3-star,,3-star,
Will Nixon,RB/WR,2022,Nebraska,Washington,0.85,85.93,,3-star,,3-star,2020.0
Cedrick Dort Jr.,CB,2022,Kentucky,Wisconsin,0.84,80.78,,3-star,,3-star,2017.0
Jay Shaw,CB,2022,UCLA,Wisconsin,0.92,85.47,82.0,4-star,,4-star,2018.0
Justin Clark,CB,2022,Toledo,Wisconsin,0.84,78.47,,2-star,,2-star,2016.0
Kamo'i Latu,S,2022,Utah,Wisconsin,0.89,83.17,85.0,3-star,5.5,3-star,2019.0
Keontez Lewis,WR,2022,UCLA,Wisconsin,0.89,88.95,,3-star,,3-star,2020.0
Vito Calvaruso,K,2022,Arkansas,Wisconsin,,,,2-star,,2-star,2019.0
Clayton Bush,S,2023,Southern Illinois,Illinois,,84.0,82.0,,,,2019.0
Demetrius Hill,S,2023,FIU,Illinois,,85.0,85.0,,,,2021.0
Denzel Daxon,DL,2023,Ohio,Illinois,,84.0,,,,,2018.0
John Paddock,QB,2023,Ball State,Illinois,,85.0,,,,,2018.0
Luke Altmyer,QB,2023,Ole Miss,Illinois,0.91,87.0,90.0,,,,2021.0
Nicario Harper,S,2023,Louisville,Illinois,,86.0,,,,,2018.0
Tanner Arkin,TE,2023,Colorado State,Illinois,0.86,85.0,82.0,,,,2021.0
Andre Carter,DL,2023,Western Michigan,Indiana,0.93,82.2,83.0,,,,2018.0
Christian Turner,RB,2023,Wake Forest,Indiana,0.88,87.0,87.0,,,,2019.0
DeQuece Carter,WR,2023,Fordham,Indiana,0.9,89.57,78.0,,,,2019.0
Jacob Mangum-Farrar,LB,2023,Stanford,Indiana,0.89,,86.0,,,,2018.0
Jamier Johnson,CB,2023,Texas,Indiana,,,,,,,2021.0
Jamison Kelly,S,2023,Jones College,Indiana,,,,,,,2020.0
Marcus Burris Jr.,DL,2023,Texas A&M,Indiana,,89.09,92.0,,,,2021.0
Max Longman,IOL,2023,UMass,Indiana,,,79.0,,,,2019.0
Nicolas Toomer,DB,2023,Stanford,Indiana,0.87,,86.0,,,,2019.0
Phillip Blidi,DL,2023,Texas Tech,Indiana,,86.0,87.0,,,,2020.0
Tayven Jackson,QB,2023,Tennessee,Indiana,0.9,91.52,91.0,,,,2022.0
Tyrik McDaniel,S,2023,Independence CC,Indiana,,,,,,,2019.0
Cade McNamara,QB,2023,Michigan,Iowa,0.88,90.44,90.0,4-star,,4-star,2019.0
Daijon Parker,OT,2023,Saginaw Valley State,Iowa,0.87,,,,,,2018.0
Deacon Hill,QB,2023,Wisconsin,Iowa,0.85,88.97,,3-star,,4-star,2021.0
Erick All,TE,2023,Michigan,Iowa,0.92,89.37,90.0,4-star,5.8,4-star,2019.0
Kaleb Brown,WR,2023,Ohio State,Iowa,0.92,94.25,95.0,,5.9,4-star,2022.0
Nick Jackson,LB,2023,Virginia,Iowa,0.9,88.07,88.0,3-star,5.7,3-star,2019.0
Reggie Bracy,DB,2023,Troy,Iowa,,85.3,,,,,2019.0
Rusty Feth,IOL,2023,Miami (OH),Iowa,0.87,75.05,73.0,,,,2019.0
Seth Anderson,WR,2023,Charleston Southern,Iowa,,,,,,,2021.0
Corey Bullock,IOL,2023,NC Central,Maryland,0.87,87.0,,,,,2019.0
Donnell Brown,EDGE,2023,Saint Francis (PA),Maryland,0.86,,,,,,2019.0
Gottlieb Ayedze,OT,2023,Frostburg State,Maryland,0.88,89.34,,,,,2019.0
Ja'Quan Sheppard,CB,2023,Cincinnati,Maryland,0.9,,82.0,3-star,5.5,,2019.0
Jordan Phillips,DL,2023,Tennessee,Maryland,0.87,85.0,89.0,4-star,5.6,3-star,2022.0
Kaden Prather,WR,2023,West Virginia,Maryland,0.91,90.57,90.0,4-star,5.8,4-star,2021.0
Marcus Dumervil,OT,2023,LSU,Maryland,0.86,84.67,,4-star,,4-star,2020.0
Michael Purcell,K,2023,Towson,Maryland,0.8,,,,,,2019.0
Tank Booker,DL,2023,Cincinnati,Maryland,0.86,85.29,87.0,,,,2019.0
Tyrese Chambers,WR,2023,FIU,Maryland,0.89,91.36,,2-star,,,2018.0
AJ Barner,TE,2023,Indiana,Michigan,0.91,87.0,87.0,3-star,,,2020.0
Drake Nugent,IOL,2023,Stanford,Michigan,0.9,93.52,,3-star,5.6,3-star,2019.0
Ernest Hausmann,LB,2023,Nebraska,Michigan,0.96,93.68,88.0,3-star,,,2022.0
Jack Tuttle,QB,2023,Indiana,Michigan,0.84,85.0,95.0,4-star,5.9,4-star,2018.0
James Turner,K,2023,Louisville,Michigan,0.83,80.0,,,,,2019.0
Josaiah Stewart,EDGE,2023,Coastal Carolina,Michigan,0.91,92.56,88.0,3-star,5.5,3-star,2021.0
Josh Wallace,CB,2023,UMass,Michigan,0.88,89.66,84.0,3-star,5.2,2-star,2019.0
LaDarius Henderson,IOL,2023,Arizona State,Michigan,0.93,,87.0,3-star,,,2019.0
Myles Hinton,OT,2023,Stanford,Michigan,0.9,90.45,92.0,4-star,6.1,5-star,2020.0
Ademola Faleye,TE,2023,Norfolk State,Michigan State,0.84,82.01,,3-star,,,2020.0
Alante Brown,WR,2023,Nebraska,Michigan State,0.83,86.37,91.0,4-star,5.7,3-star,2019.0
Jack Stone,K,2023,Baylor,Michigan State,0.8,79.5,78.0,,,,2022.0
Jalen Sami,DL,2023,Colorado,Michigan State,0.86,86.0,79.0,3-star,,,2017.0
Jaren Mangham,RB,2023,USF,Michigan State,0.87,88.5,87.0,4-star,5.8,4-star,2019.0
Jaylan Franklin,TE,2023,Wisconsin,Michigan State,0.85,85.0,87.0,3-star,,,2018.0
Ken Talley,EDGE,2023,Penn State,Michigan State,0.86,84.67,90.0,4-star,,4-star,2022.0
Michael O'Shaughnessy,P,2023,Ohio State,Michigan State,0.8,77.82,,,,,2019.0
Nathan Carter,RB,2023,UConn,Michigan State,0.9051,90.51,77.0,3-star,,,2020.0
Semar Melvin,CB,2023,Wisconsin,Michigan State,0.85,85.0,84.0,3-star,5.8,4-star,2019.0
Chris Collins,EDGE,2023,North Carolina,Minnesota,0.87,,,3-star,,,2019.0
Corey Crooms,WR,2023,Western Michigan,Minnesota,0.88,,82.0,3-star,,,2019.0
Craig McDonald,S,2023,Auburn,Minnesota,0.87,85.3,86.0,3-star,,,2019.0
David Kemp,K,2023,Memphis,Minnesota,0.78,,,2-star,,,2021.0
Elijah Spencer,WR,2023,Charlotte,Minnesota,0.9,,82.0,3-star,,,2021.0
Jack Henderson,S,2023,Southeastern Louisiana,Minnesota,0.89,,82.0,3-star,,,2019.0
Rowan Zolman,S,2023,Miami (OH),Minnesota,0.85,81.4,82.0,3-star,,,2021.0
Ryan Selig,LB,2023,Western Michigan,Minnesota,0.88,83.53,70.0,3-star,,,2019.0
Sean Tyler,RB,2023,Western Michigan,Minnesota,0.89,81.93,77.0,2-star,,,2018.0
Tre'Von Jones,CB,2023,Elon,Minnesota,0.87,86.0,,2-star,,,2019.0
Tyler Bride,CB,2023,Georgia Southern,Minnesota,0.85,81.42,83.0,2-star,,,2018.0
Arik Gilbert,TE,2023,Georgia,Nebraska,0.91,,99.0,5-star,6.1,5-star,2020.0
Ben Scott,OT,2023,Arizona State,Nebraska,0.88,,,3-star,,,2019.0
Billy Kemp,WR,2023,Virginia,Nebraska,0.89,,,3-star,,,2018.0
Chief Borders,LB,2023,Florida,Nebraska,0.85,,,4-star,5.8,4-star,2020.0
Corey Collier,CB,2023,Florida,Nebraska,0.89,,90.0,4-star,5.9,4-star,2021.0
Elijah Jeudy,DL,2023,Texas A&M,Nebraska,0.88,,,4-star,5.8,4-star,2020.0
Jacob Hood,OT,2023,Georgia,Nebraska,0.88,,,4-star,,,2022.0
Jeff Sims,QB,2023,Georgia Tech,Nebraska,0.9,,88.0,4-star,5.8,4-star,2020.0
Josh Fleeks,WR,2023,Baylor,Nebraska,0.85,,,4-star,,,2018.0
MJ Sherman,EDGE,2023,Georgia,Nebraska,0.9,,95.0,4-star,5.9,4-star,2020.0
Marco Ortiz,LS,2023,Florida,Nebraska,,,,2-star,,,2018.0
Tyler Knaak,OT,2023,Utah,Nebraska,0.84,,,3-star,,,2022.0
A.J. Henning,WR,2023,Michigan,Northwestern,0.87,,94.0,4-star,5.9,4-star,2020.0
Ben Bryant,QB,2023,Cincinnati,Northwestern,0.88,,85.0,2-star,,3,2018.0
Cam Johnson,WR,2023,Arizona State,Northwestern,0.86,,91.0,3-star,,4,2018.0
Matt Lawson,DL,2023,Fresno State,Northwestern,0.83,,83.0,3,,2,2019.0
Richie Hagarty,EDGE,2023,Southern Illinois,Northwestern,0.81,,81.0,3,5.4,2,2019.0
Davison Igbinosun,CB,2023,Ole Miss,Ohio State,0.94,,94.0,4-star,5.8,4-star,2022.0
Ja'Had Carter,S,2023,Syracuse,Ohio State,0.93,91.0,86.0,3-star,5.4,3-star,2019.0
Josh Simmons,OT,2023,San Diego State,Ohio State,0.91,87.25,89.0,3-star,,,2021.0
Lorenzo Styles Jr.,CB,2023,Notre Dame,Ohio State,0.9,,94.0,4-star,,,2021.0
Tristan Gebbia,QB,2023,Oregon State,Ohio State,0.85,,88.0,4-star,,,2017.0
Tywone Malone Jr.,DL,2023,Ole Miss,Ohio State,0.89,,94.0,4-star,,,2021.0
Victor Cutler Jr.,OL,2023,Louisiana-Monroe,Ohio State,0.88,,76.0,2-star,,,2019.0
Ajani Cornelius,OT,2023,Rhode Island,Oregon,0.92,,,,,,
Evan Williams,S,2023,Fresno State,Oregon,0.91,,,,,,
Gary Bryant Jr.,WR,2023,USC,Oregon,0.9,,,,,,2020.0
Jestin Jacobs,LB,2023,Iowa,Oregon,0.9,,,,,,
Jordan Burch,EDGE,2023,South Carolina,Oregon,0.94,,,5-star,,5-star,2020.0
Junior Angilau,IOL,2023,Texas,Oregon,0.9,,,,,,2019.0
Khyree Jackson,CB,2023,Alabama,Oregon,0.89,,,,,,2017.0
Tez Johnson,WR,2023,Troy,Oregon,0.88,,81.0,3-star,,,2020.0
Traeshon Holden,WR,2023,Alabama,Oregon,0.91,,,,,,2020.0
Tysheem Johnson,S,2023,Ole Miss,Oregon,0.89,,,,,,2021.0
Alonzo Ford Jr.,DL,2023,Old Dominion,Penn State,0.87,,,,,,2020.0
Dante Cephas,WR,2023,Kent State,Penn State,0.88,,79.0,3-star,5.7,3-star,2019.0
Malik McClain,WR,2023,Florida State,Penn State,0.86,,,,,,2021.0
Storm Duck,CB,2023,North Carolina,Penn State,0.89,,84.0,3-star,,,2019.0
Trey Potts,RB,2023,Minnesota,Penn State,0.89,,84.0,3-star,,,2019.0
Anthony Brown,S,2023,Arkansas,Purdue,0.87,,,,,,2020.0
Ben Farrell,OT,2023,Indiana Wesleyan,Purdue,0.85,,,,,,
Bennett Meredith,QB,2023,Arizona State,Purdue,0.86,,,,,,
Braxton Myers,S,2023,Ole Miss,Purdue,0.89,,94.0,4-star,,,2023.0
